"signature_date";"system_object_id";"global_id";"DangerClass";"ParameterName";"UnitOfMeasure";"PDKmr_ASIL";"PDKss";"ID";
"12.08.2016 09:52:12";"1";"171651564";"4";"Оксид углерода";"мг/м3";"5.0";"3.0";"1";
"12.08.2016 09:52:28";"2";"171651565";"3";"Диоксид серы";"мг/м3";"0.5";"0.05";"2";
"12.08.2016 09:52:29";"3";"171651566";"4";"Аммиак";"мг/м3";"0.2";"0.04";"3";
"12.08.2016 09:52:30";"4";"171651567";"2";"Сероводород";"мг/м3";"0.008";"";"4";
"12.08.2016 09:52:30";"5";"171651568";"1";"Озон";"мг/м3";"0.16";"0.03";"5";
"12.08.2016 09:52:30";"6";"171651569";"";"Метан";"мг/м3";"50.0";"";"6";
"12.08.2016 09:52:31";"7";"171651570";"2";"Формальдегид";"мг/м3";"0.05";"0.01";"7";
"12.08.2016 09:52:32";"8";"171651571";"2";"Бензол";"мг/м3";"0.3";"0.1";"8";
"12.08.2016 09:52:33";"9";"171651572";"";"Сумма углеводородных соединений за вычетом метана";"мг/м3";"";"";"9";
"12.08.2016 09:52:45";"10";"171651573";"3";"Диоксид азота";"мг/м3";"0.2";"0.04";"10";
"12.08.2016 09:52:46";"11";"171651574";"";"Сумма углеводородных соединений";"мг/м3";"";"";"11";
"12.08.2016 09:52:46";"13";"171651575";"3";"Оксид азота";"мг/м3";"0.4";"0.06";"13";
"12.08.2016 09:52:47";"15";"171651576";"2";"Фенол";"мг/м3";"0.01";"0.006";"15";
"12.08.2016 09:52:47";"20";"171651577";"";"Взвешенные частицы РМ10";"мг/м3";"0.3";"0.06";"20";
"12.08.2016 09:52:48";"28";"171651578";"";"Кислород";"%";"";"";"28";
"12.08.2016 09:53:04";"838";"171651579";"";"Взвешенные частицы РМ2.5";"мг/м3";"0.16";"0.035";"838";
"12.08.2016 09:53:04";"843";"171651580";"";"Взвешенные частицы РМ10 (суточные измерения)";"мг/м3";"";"0.06";"843";
"12.08.2016 09:53:04";"845";"171651581";"";"Взвешенные частицы РМ2.5 (суточные измерения)";"мг/м3";"";"0.035";"845";
